Economy,Year,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),Total greenhouse gas emissions per capita excluding LULUCF (t CO2e/capita),Electricity production from coal sources (% of total),"Energy imports, net (% of energy use)",Energy intensity level of primary energy (MJ/$2021 PPP GDP),Energy use (kg of oil equivalent per capita),Fossil fuel energy consumption (% of total),Renewable electricity output (% of total electricity output),Renewable energy consumption (% of total final energy consumption),Cooling Degree Days,Heating Degree Days,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Standardised Precipitation-Evapotranspiration Index,"Agriculture, forestry, and fishing, value added (% of GDP)",Food production index (2014-2016 = 100),"Adjusted savings, natural resources depletion (% of GNI)","Adjusted savings, net forest depletion (% of GNI)","Annual freshwater withdrawals, total (% of internal resources)",Forest area (% of land area),Terrestrial and marine protected areas (% of total territorial area),Tree Cover Loss,Score
Luxembourg,2018,88.54885087408582,54.78928442744825,25.458091273496294,100.0,0.0,79.21021050431094,32.026121262352945,60.454083907397234,87.09867110640864,16.375,79.11558639591044,65.50528503722342,93.94355381797904,36.27679216504775,0.9686351936068692,79.01984609153502,99.1808181440746,94.06471043059918,62.09804908694216,46.39207053868861,73.43173431734317,54.15434483072835,61.83292569475215
Luxembourg,2019,90.71765674160817,55.80093245058997,26.106957430057776,100.0,0.0541377405257463,79.66441917453885,32.20604023246659,60.454083907397234,85.28649600538118,16.875,83.40464978806585,62.92152796337294,94.30997863918506,60.407802841775705,0.4221257732254493,77.74402592142567,99.41946286104712,95.78381763610254,63.171716439012975,46.39207053868861,92.43542435424357,53.283827416463104,64.40318903434886
Luxembourg,2020,90.15585606234244,56.46542774894869,41.73325992209489,100.0,0.2436241818609659,84.28026477917145,37.10566017258401,60.454083907397234,88.07327663192375,22.375,83.80836585677147,67.50481121032429,94.49951397289828,49.00858954804527,0.0,84.26488456865127,99.579228155242,96.9347070080695,63.747850636622985,46.39207053868861,92.43542435424357,51.22986349371568,65.40166100439087
Moldova,2012,59.659742045715,61.81862647875822,94.1838745696952,100.0,2.377335010105682,40.54268222630361,80.60351040561423,7.536602211724556,0.450380347874951,24.0,22.03779212317036,59.42909693961508,81.30669681355147,67.81729148270048,79.83220031438573,0.0,98.41684662917528,100.0,13.720553460663425,15.12389442123694,5.719557195571956,43.07752820816882,47.199273419528446
Moldova,2013,60.71223928489572,61.095339637741546,95.19653800832565,100.0,2.54453498291776,48.806391074723535,83.84344950453797,10.053141179775425,2.8861108006680505,26.125,56.01375724640116,65.51858953636153,81.55550002894833,97.6639640362848,83.08612479895127,49.83799108950993,98.78572256825892,100.0,14.007945463259574,15.213145896138032,5.719557195571956,62.37053976719224,53.52237859897623
Moldova,2014,63.94812785197841,59.061942367917325,94.1751269688534,100.0,2.6129122791297306,47.66592859116679,81.54066220375375,8.766039641979987,2.076219980301082,26.75,52.28828417312098,62.90063756560343,81.62345240743393,83.79224532391426,89.5649383587068,60.93560145808016,99.07824242730663,100.0,14.086974548710671,15.311813811051625,5.719557195571956,56.04790173620389,52.68948693439149
Moldova,2015,65.48272664763613,61.51967227776903,93.49950344501104,100.0,2.5288792049608877,46.86684642540689,80.80854564763467,7.912675279558172,0.5063645469614473,27.25,32.73929077633056,67.26462998904128,81.5329508091818,44.30842096813036,86.50070353862192,37.788578371810445,99.5698153044726,100.0,13.981635669419262,15.410618196110326,5.719557195571956,53.50386040037515,48.90425094417779
Moldova,2016,68.3263705123664,60.171825193676455,92.73434565372878,100.0,2.5997200927983783,47.66592859116679,79.69605239147086,60.454083907397234,0.0,28.0,45.06774503415801,64.07890268225705,81.48770001005573,96.99365818415347,85.61479415109176,71.32442284325637,99.72536641045204,100.0,13.92919314538267,15.414848770608698,5.719557195571956,49.257374214439935,55.72213342476425
Moldova,2017,73.31069114245828,60.44001546315574,92.3031403887022,100.0,2.7098995488073854,48.8888499292588,78.77639855316681,60.454083907397234,2.2306987684520685,29.0,49.34404535592173,64.27718640186822,81.5329508091818,88.03082604158304,84.87146362791684,88.63912515188335,99.70648457404334,100.0,13.981635669419262,15.409935845384783,5.719557195571956,47.03914765963639,56.141501531021866
Moldova,2018,68.26203821390621,59.5384003485754,90.59015431797012,100.0,2.5923094482690416,48.39611073171862,76.6983652827343,60.454083907397234,1.986290138111766,28.0,43.65708988560259,62.84987039783952,81.6007508280744,75.42747049851488,78.88805696516546,100.0,99.5839352803166,100.0,14.060572183370809,15.412255837851632,5.719557195571956,48.98370080469367,54.64572997061533
Moldova,2019,71.66878503115038,52.94604423517492,90.06375457319425,100.0,2.362616563169261,50.48179093915383,76.60690498223346,60.454083907397234,2.489416792961867,23.875,45.1020038020515,70.10479043663265,81.55550002894833,23.85004415188247,78.93217207775585,94.4309437019036,99.66402786939187,100.0,14.007945463259574,15.411982897561415,5.719557195571956,49.413558738775386,51.8834694230356
Moldova,2020,74.3110974517117,53.18838860691137,90.3941051461621,100.0,2.369035961251896,48.39611073171862,77.40574939809537,60.454083907397234,1.593878503843169,24.25,41.15821505101869,71.46418347137723,81.3971984118036,36.16841936260737,76.3193729218519,19.13730255164032,99.79624023109858,100.0,13.824631330110776,15.41252877814185,5.719557195571956,44.927954187768655,50.53291508374703
Montenegro,2012,47.2383993499052,64.56970662730484,79.39188081462216,45.80620793072734,10.072375482487136,56.53905256230176,72.74217375211865,20.836136002247287,49.8058831455182,53.75,59.60152350756045,59.7271644027622,94.50673093804362,55.76382756682989,56.33895244810349,43.56014580801943,86.46801942321345,57.91471544447605,77.56584916759695,83.28431780621513,15.682656826568266,45.87736515986463,55.911636043383304
Montenegro,2013,52.75977746754735,65.836482312795,78.55538816279063,58.81614107088496,13.32481898716766,60.95424966157033,75.11997330170954,19.242029467325388,61.85919765033482,58.0,74.82182081992651,62.87472880412392,92.11790905078983,95.1834310026491,58.17704035591505,57.73592547590116,95.2585428383332,100.0,77.28544500515153,83.28431780621513,15.682656826568266,40.58574325233006,63.687407678809286
