Economy,Year,Access to clean fuels and technologies for cooking  (% of population),Access to electricity (% of population),People using safely managed drinking water services (% of population),People using safely managed sanitation services (% of population),"Fertility rate, total (births per woman)","Life expectancy at birth, total (years)",Population ages 65 and above (% of total population),"Government expenditure on education, total (% of government expenditure)","School enrollment, primary (% gross)","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Hospital beds (per 1,000 people)","Mortality rate, under-5 (per 1,000 live births)",Prevalence of overweight (% of adults),Prevalence of undernourishment (% of population),Gini index,Income share held by lowest 20%,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),Poverty headcount ratio at national poverty lines (% of population),Prosperity gap (average shortfall from a prosperity standard of $28/day),Score
Latvia,2018,100.0,100.0,88.0964756330217,80.48653034437186,30.112184707705808,34.800477453201665,82.02906083340865,67.64767395093178,41.8910916828747,66.69794154441033,79.1842193246406,40.71428571428572,80.5527289249386,30.348727615457108,100.0,42.23300970873783,43.548387096774206,84.2580810999673,64.44274623571162,25.0,68.13831387732029,64.38952568105415
Latvia,2019,100.0,100.0,88.93843727666311,81.78506088652944,30.691924169043347,39.12400202989079,83.20979842718972,68.76149617911248,42.77932369196404,66.87421812805641,82.86191909060514,40.11904761904762,82.23004406365163,28.840716305372297,100.0,45.14563106796115,45.161290322580655,91.21258493228656,66.01413434894394,29.577464788732385,70.65413925702245,66.22926145344933
Latvia,2020,100.0,100.0,89.78187552788725,82.98806992623491,27.179627628516783,37.67734741867923,84.70690590255806,61.70961254859903,42.41680948988042,68.68247469578074,76.89067201604814,38.69047619047619,84.87621092361465,27.332704995287457,100.0,39.32038834951453,41.93548387096776,86.41968178229843,68.28911976821696,23.239436619718305,70.65413925702245,65.11598667789488
Moldova,2012,90.03378378378378,90.56603773584902,3.5352938744411238,40.022993089141806,33.61446619837824,3.07342629852252,27.15696465696466,100.0,60.70163107319607,33.998635278062096,96.773654296222,50.83333333333334,29.145884489126612,32.10807414388941,30.42401236931886,70.87378640776697,75.80645161290323,86.41968178229843,22.11100913207956,16.901408450704224,40.97399124818115,42.457150215122276
Moldova,2013,91.38513513513512,92.45283018867916,11.03734635898104,40.18760007232721,31.384686595826736,2.6946086384721184,27.893654524089307,86.03727041158334,60.70163107319607,35.28659160696009,97.70310932798397,47.97619047619048,29.89399780608593,30.788564247565205,51.5706861694118,74.27184466019415,79.03225806451613,96.80775843532312,26.441596649016404,16.901408450704224,44.17006549225746,44.965774228547616
Moldova,2014,92.65202702702705,96.22641509433949,18.634787693361773,32.191263840724545,42.37900856501776,2.3372334874811145,30.52912862695472,82.54672208070788,60.70163107319607,48.15193904242008,99.2009361417586,47.3809523809524,30.400110861506377,29.437637448947527,63.94766401234028,82.52427184466018,87.09677419354838,100.0,27.558590577768456,16.901408450704224,44.17006549225746,47.56410978078312
Moldova,2015,93.41216216216216,98.11320754716984,19.594877943617234,27.0133448367245,45.033241105926805,1.4580906160432503,34.0707764620808,85.7283818206194,56.592896069633525,51.688843398157616,98.14108993647608,43.92857142857143,31.1706912417894,28.055293748036465,75.48007722718293,81.55339805825241,87.09677419354838,96.80775843532312,30.19915948273308,16.901408450704224,45.83532980936042,47.90569339010942
Moldova,2016,94.25675675675674,98.11320754716984,20.57593602154668,13.364341696877371,46.08200882223704,1.8940883002522924,37.403394196872455,82.93015149483846,53.5656858402819,50.88138291823043,98.75961216984288,45.0,31.692234950111512,26.67295004712534,94.04580013871144,84.95145631067959,91.93548387096774,93.89347021557242,30.0829493017838,16.901408450704224,44.17006549225746,48.01928950470171
Moldova,2017,94.59459459459458,100.0,21.5755993550178,22.10601692726823,41.84251796807246,3.2949988921370164,40.40043387869474,83.44603834294142,51.682104411793006,46.673490276356176,98.66265463055834,44.40476190476191,31.9554114979007,25.25918944392083,100.0,86.89320388349513,91.93548387096774,96.80775843532312,30.4333332426008,16.901408450704224,45.83532980936042,49.24273480590951
Moldova,2018,94.93243243243242,100.0,22.59386794403065,43.89846714082862,41.84251796807246,2.3014959723820425,43.09974690409473,82.34455020780267,50.85284715669471,41.814511543273056,99.96656636576397,44.28571428571429,32.220217632218265,23.87684574300974,100.0,87.8640776699029,95.16129032258064,100.0,34.681442468174865,16.901408450704224,47.54886932226948,51.61693023278249
