Economy,Year,Access to clean fuels and technologies for cooking  (% of population),Access to electricity (% of population),People using safely managed drinking water services (% of population),People using safely managed sanitation services (% of population),"Fertility rate, total (births per woman)","Life expectancy at birth, total (years)",Population ages 65 and above (% of total population),"Government expenditure on education, total (% of government expenditure)","School enrollment, primary (% gross)","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Hospital beds (per 1,000 people)","Mortality rate, under-5 (per 1,000 live births)",Prevalence of overweight (% of adults),Prevalence of undernourishment (% of population),Gini index,Income share held by lowest 20%,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),Poverty headcount ratio at national poverty lines (% of population),Prosperity gap (average shortfall from a prosperity standard of $28/day)
Poland,2017,0.41393836699036907,0.2498612267447957,-0.07139142582832794,0.9528321273518262,-0.49178858889307814,-0.1300194625700558,-0.03344920461882264,0.09740879638784992,-0.5619380682601108,-0.34879705124587257,0.766152298403383,0.9071305009861325,0.2289002221375685,-0.8913598917988328,0.33643414466842625,0.45110571979922837,0.36591866067645684,0.3410430332148802,0.35674150104076224,0.7356581737908434,0.19491127443684592
Poland,2018,0.41393836699036907,0.2498612267447957,-0.10686955957193008,0.9615029932426779,-0.5741729353082997,-0.16981690521853893,0.10947659675965582,0.15883657629104697,-1.2098557723843277,-0.2667281042628423,0.9391072162177467,0.8579128549836251,0.2663758268337246,-0.9858622657873489,0.33643414466842625,0.33778815166602033,0.29759073126795316,0.45772400026587107,0.4392403619274544,0.7356581737908434,0.3053757702967044
Poland,2019,0.41393836699036907,0.2498612267447957,-0.14307257029274045,0.9635961099963799,-0.6572298144396429,-0.09024832358491978,0.25112604233941926,0.14350866145697883,-1.1174150455649146,-0.19937392226567807,1.0342994578054976,0.666510898307207,0.30453909554333386,-1.0803646397758664,0.33643414466842625,0.6550773424390025,0.5709024489019643,0.7207460690371507,0.7119642903854582,0.7356581737908434,0.5422255677736938
Poland,2020,0.41393836699036907,0.2498612267447957,-0.2162545163860181,0.9659919502475183,-0.867887674818777,-0.48609215333842337,0.3859508916076909,-0.39192327263308213,-3.7032981627771733,-0.14415562891665334,1.0530697589636455,0.6774481529744311,0.30453909554333386,-1.1731794713717307,0.33643414466842625,0.7230678833189275,0.5709024489019643,0.5837490454169537,0.6347116560543337,0.7356581737908434,0.5422255677736938
Portugal,2012,0.41393836699036907,0.2498612267447957,0.26813686648166973,-0.03836244643945096,-1.3472847977032925,0.5590049988820732,0.6788354752963383,-0.23272197537923814,1.7209539144737507,0.20202059477147424,-1.02104851901171,-0.8045498544344043,0.5932966578174588,0.01147528827003504,0.33643414466842625,-0.9766956386791928,-0.8639840686765929,-0.13977198781075065,-0.3593705952565171,-0.4138023419924742,-0.1097606422187963
Portugal,2013,0.41393836699036907,0.2498612267447957,0.2771927239293176,0.07433286241327434,-1.664552723616319,0.650752176646723,0.7901389105597321,-0.24890144103742126,1.9481363421821836,0.14407172647661629,-1.1311564463412032,-0.810018481768016,0.6380261191623774,0.013162830662686793,0.33643414466842625,-1.0220226659324767,-1.068967856902101,-0.22053187124078144,-0.40148599908636906,-0.5470731264311198,-0.1097606422187963
Portugal,2014,0.41393836699036907,0.2498612267447957,0.2860239716093799,0.18955375015889586,-1.527367573038163,0.7559668300465533,0.9168367596402712,-0.5201590853736572,1.6460590549592495,0.17274276340784037,-0.7472032324723006,-0.8482988731032998,0.6380261191623774,0.0165379154479915,0.33643414466842625,-0.8860415841726267,-0.8639840686765929,-0.05464463267964906,-0.2917865348913615,-0.5470731264311198,-0.01229552373586766
Portugal,2015,0.41393836699036907,0.2498612267447957,0.29464081905674716,0.30722669823375115,-1.214284064700896,0.7565981179669508,1.0367100124093178,-0.41553445457444965,1.3330359083875318,0.19898662260943828,-0.5041948692641343,-0.82095573643524,0.6380261191623774,0.0165379154479915,0.33643414466842625,-0.8633780705459848,-0.7273282098595873,0.03534972026407804,-0.09310518043745526,-0.4637788861569664,0.08914884615808667
Portugal,2016,0.41393836699036907,0.2498612267447957,0.3030534758063086,0.4272911619383521,-0.9533874316769375,0.7565981179669508,1.1546296593640055,-0.3755115658410494,1.0880639207727247,0.24813697163439538,-0.2730855362544369,-0.810018481768016,0.6380261191623774,0.0165379154479915,0.33643414466842625,-0.7953875296660606,-0.5906723510425818,0.3410430332148802,-0.09310518043745526,-0.34716694977315166,0.08914884615808667
Portugal,2017,0.41393836699036907,0.2498612267447957,0.31125173232317643,0.5496822719518205,-0.9105477423146319,0.8355091080168253,1.274789440985824,-0.5845285863056148,0.9070206256068435,0.39118875907431955,0.09544921594884416,-0.810018481768016,0.6380261191623774,0.0165379154479915,0.33643414466842625,-0.4780983388930769,-0.24903270400006805,0.3410430332148802,0.15014134778497007,-0.18057846922484472,0.19491127443684592
Portugal,2018,0.41393836699036907,0.2498612267447957,0.3192253790724572,0.6647863949198599,-0.7409702969704445,0.809205444666866,1.3904689532733812,-0.5236039955257579,0.9203627955366241,0.46248710488212796,0.40968416837319704,-0.7826753450999565,0.6837387238911143,0.01822545784064325,0.33643414466842625,-0.4101077980131527,-0.24903270400006805,0.3410430332148802,0.21333223114512448,-0.16391962117001377,0.3053757702967044
Portugal,2019,0.41393836699036907,0.2498612267447957,0.32700504465882413,0.6854234882022269,-0.6572298144396429,0.901583910351917,1.5096910041043077,-0.42103082807555514,0.9616686914836128,0.5240767397714252,0.49850791492514734,-0.744394953764673,0.6837387238911143,0.01822545784064325,0.33643414466842625,-0.25146320262666083,-0.11237684518306305,0.5837490454169537,0.41079747258297766,0.002668859378293156,0.4209799618360721
Portugal,2020,0.41393836699036907,0.2498612267447957,0.33457031001249604,0.705005373864959,-0.7409702969704445,0.8104943241710155,1.632794218486427,-0.7779467439466203,1.0443210988111646,0.3189802216179008,0.44202941947607705,-0.7334576990974492,0.730478663681363,0.014850373055339745,0.33643414466842625,-0.6820699615328526,-0.5906723510425818,0.13080152248002822,0.1706624229344603,-0.36382579782798197,0.3053757702967044
Romania,2012,0.41393836699036907,-3.0483069662864177,-1.0016331973530306,-0.49401320553768235,-0.328994536821067,-1.0089563734088742,-0.08541511928076269,-1.443588540414977,-0.8541254974072425,-2.2069533018838463,0.4432025632984614,0.9290050103205802,-1.3906072833604266,-0.03915098350952715,0.33643414466842625,-1.0900132068124009,-1.6839192215786258,-2.6571265430567066,-1.6724830358372793,-1.130132808350194,-1.9260467800922512
Romania,2013,0.41393836699036907,-2.598556758145803,-1.0027051985165056,-0.3915413016555179,-0.5741729353082997,-0.8376669176739522,-0.03542885851070608,-1.4606582637529166,-1.341593079982908,-2.161595418061432,0.3925897869613122,0.9727540289894757,-1.2677118039613469,-0.21128030756004074,0.33643414466842625,-1.1806672613189668,-1.888903009804134,-2.7065904812949655,-1.6617187451870838,-1.4799686175016389,-2.0164219023957766
