Economy,Year,Access to clean fuels and technologies for cooking  (% of population),Access to electricity (% of population),People using safely managed drinking water services (% of population),People using safely managed sanitation services (% of population),"Fertility rate, total (births per woman)","Life expectancy at birth, total (years)",Population ages 65 and above (% of total population),"Government expenditure on education, total (% of government expenditure)","School enrollment, primary (% gross)","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Hospital beds (per 1,000 people)","Mortality rate, under-5 (per 1,000 live births)",Prevalence of overweight (% of adults),Prevalence of undernourishment (% of population),Gini index,Income share held by lowest 20%,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),Poverty headcount ratio at national poverty lines (% of population),Prosperity gap (average shortfall from a prosperity standard of $28/day)
Bulgaria,2019,,99.2,96.1246,70.4442,1.79,75.1122,21.4795,10.4823,96.4399,73.283,4.23,7.66,6.7,51.39,3.0,40.3,5.7,1.6,8.2,23.8,1.8
Bulgaria,2020,,99.7,95.9671,71.4425,1.77,73.3561,21.6868,9.4569,96.5438,72.296,5.125,7.77,6.5,51.57,2.9,40.5,6.1,0.7,5.8,22.1,1.5
Bosnia and Herzegovina,2012,43.2,99.7,88.7023,35.0579,1.252,77.037,15.8713,,89.023,60.778,28.01,2.33,6.7,53.62,2.5,,,,,,
Bosnia and Herzegovina,2013,42.1,99.5,88.7977,38.0489,1.278,77.129,16.323,,88.8709,60.801,27.49,2.26,6.7,53.93,2.5,,,,,,
Bosnia and Herzegovina,2014,41.9,99.9,88.8172,41.0995,1.262,77.089,16.7738,,89.4677,60.774,27.517,2.34,6.7,54.24,2.5,,,,,,
Bosnia and Herzegovina,2015,41.8,99.7,88.8251,44.2831,1.322,77.073,17.2535,,91.1705,60.877,27.695,2.36,6.7,54.57,2.5,,,,,16.9,
Bosnia and Herzegovina,2016,41.05,100.0,88.8334,47.586,1.36,77.124,17.7718,10.2866,90.9977,60.975,25.408,2.39,6.8,54.9,2.5,,,,,,
Bosnia and Herzegovina,2017,41.3,100.0,88.8419,51.0101,1.419,77.385,18.3389,,91.3841,61.092,20.527,2.39,6.8,55.22,2.5,,,,,,
Bosnia and Herzegovina,2018,40.8,100.0,88.8507,54.5577,1.504,77.942,18.976,9.6308,90.6377,61.206,18.4,2.38,6.8,55.55,2.5,,,,,,
Bosnia and Herzegovina,2019,42.05,100.0,88.723,,1.509,77.394,19.6457,10.1332,90.1631,61.259,15.692,2.34,6.7,55.87,2.5,,,,,,
Bosnia and Herzegovina,2020,40.85,100.0,88.1389,,1.515,76.04,20.2427,,88.8545,61.053,15.868,,6.6,56.19,2.5,,,,,,
Belarus,2012,99.2,95.6,91.5589,77.8906,1.62,71.9659,13.7398,13.0864,95.8346,75.578,5.946,10.45,4.9,53.55,2.5,26.5,9.5,0.1,9.2,6.3,2.0
Belarus,2013,99.3,96.2,92.311,77.1263,1.668,72.4707,13.8439,12.7738,94.9302,76.072,5.937,10.24,4.6,53.77,2.5,26.6,9.5,0.0,5.8,5.5,1.8
Belarus,2014,99.4,96.8,92.4042,76.361,1.696,72.9707,14.0573,13.5205,95.1305,76.58,5.902,10.08,4.3,53.98,2.5,27.2,9.3,0.0,5.4,4.8,1.8
Belarus,2015,99.5,97.4,92.4967,75.5947,1.724,73.6244,14.3138,13.0506,96.0522,77.063,5.881,10.02,4.1,54.18,2.5,25.6,9.7,0.0,6.8,5.1,1.9
Belarus,2016,99.5,98.0,92.588,74.8262,1.733,73.8268,14.5403,13.578,97.3475,77.501,5.844,9.84,3.9,54.38,2.5,25.3,9.9,0.0,7.4,5.7,2.0
Belarus,2017,99.6,98.7,92.6783,74.9534,1.541,74.1293,14.7976,12.9787,97.4028,77.947,5.648,9.78,3.6,54.57,2.5,25.4,9.9,0.0,6.2,5.9,1.9
Belarus,2018,99.7,99.3,92.7665,75.0879,1.448,74.1756,15.0512,13.264,96.7058,78.177,4.763,9.71,3.4,54.74,2.5,25.2,10.1,0.0,4.3,5.6,1.8
Belarus,2019,99.7,100.0,92.8527,75.2293,1.382,74.2268,15.3719,13.0783,95.6502,78.36,4.165,9.69,3.1,54.91,2.5,25.3,10.0,0.0,3.9,5.0,1.7
Belarus,2020,99.7,100.0,92.9371,75.0964,1.369,72.1386,15.7338,12.8704,94.4191,78.521,4.049,,2.9,55.08,2.5,24.4,10.3,0.0,2.6,4.8,1.6
Switzerland,2012,100.0,100.0,96.7,98.8965,1.52,82.6976,17.3026,15.3789,102.1306,82.281,4.491,4.98,4.4,41.59,2.5,31.6,8.1,0.0,0.0,14.5,0.5
Switzerland,2013,100.0,100.0,96.7,98.9936,1.52,82.7976,17.5205,15.064,102.4378,82.398,4.747,4.85,4.4,41.48,2.5,32.5,7.9,0.0,0.1,13.8,0.5
Switzerland,2014,100.0,100.0,96.7,99.1128,1.54,83.1976,17.7142,15.254,102.4708,82.895,4.826,4.73,4.3,41.37,2.5,32.5,7.8,0.0,0.1,15.6,0.5
Switzerland,2015,100.0,100.0,96.7,99.2319,1.54,82.8976,17.8894,15.385,102.1559,83.287,4.801,4.73,4.3,41.27,2.5,32.3,7.8,0.0,0.1,14.7,0.5
Switzerland,2016,100.0,100.0,96.7,99.3508,1.54,83.6024,18.0386,15.3578,101.9025,83.867,4.918,4.69,4.2,41.18,2.5,33.0,7.7,0.0,0.2,15.5,0.5
Switzerland,2017,100.0,100.0,96.7,99.4683,1.52,83.5512,18.2005,15.3594,101.8333,83.953,4.797,4.65,4.1,41.09,2.5,32.7,7.7,0.0,0.1,14.6,0.5
Switzerland,2018,100.0,100.0,96.7,99.5841,1.52,83.7537,18.3876,15.4629,101.8372,84.181,4.713,4.63,4.1,40.99,2.5,33.1,7.5,0.0,0.2,16.0,0.5
Switzerland,2019,100.0,100.0,96.7,99.6998,1.48,83.9049,18.5821,15.6455,101.593,84.292,4.394,4.59,4.0,40.88,2.5,34.0,7.4,0.0,0.2,15.5,0.5
Switzerland,2020,100.0,100.0,96.7,99.8147,1.46,83.0,18.7515,14.2427,101.7317,84.088,4.817,4.48,4.0,40.78,2.5,33.7,7.5,0.1,0.1,14.7,0.5
Cyprus,2012,100.0,100.0,98.184,76.4203,1.382,81.128,11.7784,14.0066,100.1753,72.967,12.097,2.59,3.0,54.21,2.5,34.3,8.0,0.0,0.1,15.3,0.7
Cyprus,2013,100.0,100.0,98.4437,76.4709,1.304,81.317,12.0175,14.7843,99.762,73.379,16.131,2.52,3.0,54.17,2.5,37.0,7.7,0.1,0.3,14.4,0.8
Cyprus,2014,100.0,100.0,98.7033,76.5273,1.312,81.337,12.2611,11.3143,99.1527,74.444,16.277,2.47,2.9,54.12,2.5,35.6,7.6,0.1,0.4,16.2,0.9
