Economy,Year,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),Total greenhouse gas emissions per capita excluding LULUCF (t CO2e/capita),Electricity production from coal sources (% of total),"Energy imports, net (% of energy use)",Energy intensity level of primary energy (MJ/$2021 PPP GDP),Energy use (kg of oil equivalent per capita),Fossil fuel energy consumption (% of total),Renewable electricity output (% of total electricity output),Renewable energy consumption (% of total final energy consumption),Cooling Degree Days,Heating Degree Days,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Standardised Precipitation-Evapotranspiration Index,"Agriculture, forestry, and fishing, value added (% of GDP)",Food production index (2014-2016 = 100),"Adjusted savings, natural resources depletion (% of GNI)","Adjusted savings, net forest depletion (% of GNI)","Annual freshwater withdrawals, total (% of internal resources)",Forest area (% of land area),Terrestrial and marine protected areas (% of total territorial area),Tree Cover Loss
Croatia,2012,-0.8954312388171104,-0.1625119041721144,0.732764082611903,-0.36311420614826306,0.13800143668138062,0.015367757314005389,0.5877048327788643,-1.08818644054375,0.6300037850473325,0.5441538875289156,-1.3393084254347754,0.688174403437941,1.4950796976276004,-0.8207672409104377,0.31060353882933,-1.3781550099157753,-1.6836652128165406,-2.2501333636335,1.194755643119745,0.123085365014489,-0.811812923480212,0.4185306575351093
Croatia,2013,-0.8269849608468851,-0.1132510465291989,0.7552016128993732,-0.22786576619652824,0.2280367079257745,0.06247730688725279,0.6181709596415584,-1.07010890091592,1.1089413030893,0.7267766114991305,-0.8844536803922292,0.7348798525730571,1.514795782242521,0.462315232445207,0.36444768991250637,-0.3904759525748773,-1.5649627436385478,-2.2495143941128988,1.2142392038806713,0.12350042536753313,-0.811812923480212,0.6622155568556617
Croatia,2014,-0.7803354907924349,-0.12112999172454415,0.7965966031515729,-0.2376400968533878,0.3499797944722998,0.1855060042491887,0.7032289068462906,-1.059411225854651,1.298500130395948,0.767324671556717,-0.46351983923859097,1.2654979072942665,1.5566042476857909,-1.4070729582772687,0.17905778626106578,-0.6818502473102641,-1.3616748203616542,-2.2460040652501747,1.255754135548739,0.12392130703733119,0.5758169266687815,0.46393355722728596
Croatia,2015,-0.8171933696889355,-0.13662870053795476,0.7101174174644487,-0.3434950365640682,0.17679717028806863,0.13536444043835422,0.5896631838939098,-0.16815957893799913,1.1234645039920355,0.7420827405001218,-1.220835973959758,0.8288767588482039,1.5215457156609136,0.11047761869829702,0.18913388129856512,-0.3631195082716879,-1.1864827481139792,-2.245930381247145,1.2209373562116856,0.12433631887270186,0.5758169266687815,0.7153821697094556
Croatia,2016,-0.593643171437191,-0.13662870053795476,0.6357784103244386,-0.34320010055130756,0.189068195753684,0.21106032866935884,0.5511210445470652,0.7198893645686212,1.1110065979791037,0.6748542397565751,-0.8640417660588974,0.7842220046656239,1.5083908959650936,1.4604107560943285,0.22699725857640787,1.3978787645798707,-0.8896414249505769,-2.2425212766621776,1.2079020548459407,0.12655125655208288,0.5623341880350362,0.3835388488419679
Croatia,2017,-0.6614699389177882,-0.17525079258180845,0.5371395715069747,0.04560482110190649,-0.003305402933743739,0.21106032866935884,0.4528790968411535,0.7198893645686212,0.9524650389274387,0.5665704073730944,-1.1616882228700718,0.7196585823616293,1.4762595814675554,-0.5445967067457151,0.1592056518963686,-0.7928445745191556,-1.1051141021360864,-2.2479098312365977,1.1761788380012688,0.1343652732717862,0.5690839466860579,0.34154081786464247
Croatia,2018,-0.7989497774821344,-0.14854653653308802,0.6033835009911488,0.08820180170086615,0.002016588662428192,0.3715771020838764,0.48313998617030296,0.7198893645686212,1.2537176527260097,0.7267766114991305,-1.1488475338022617,1.0029190083128776,1.482092932238691,0.10462089897056717,0.1839460019749369,0.39044767417525866,-1.2327394496150594,-2.2441166619159065,1.181926319112093,0.13697388971546345,0.5690839466860579,0.1636573304656713
Croatia,2019,-0.3087753225231603,-0.13569178598442386,0.5523685966470674,-0.030053403160805188,-0.14498869548554577,0.43754799019094504,0.4406601675291946,0.7198893645686212,1.0953829595198556,0.6642984307957814,-1.1313141035072252,1.0584571064317438,1.479443681996794,1.2835218793085,0.14539730828156294,0.016561520224388917,-0.9884574844262372,-2.2393522173692593,1.1793172588292296,0.13958155919263657,0.5690839466860579,0.33045669930468785
Croatia,2020,-0.33629410940068016,-0.13648706641583255,0.584307807718082,0.18451749917096727,0.0001271805167255931,0.29866964736851975,0.5048224256394799,0.7198893645686212,1.0614766532778934,0.7061763863793877,-0.8615295641671004,0.9885525016592628,1.490780444389126,0.35319992774578407,0.25335394549426205,1.3105732371875094,-0.5667109867321026,-2.2373886739159654,1.1904984585363252,0.14232821485923863,0.5892329870233953,0.3242807171822709
Czechia,2012,-0.7209490983307221,0.04636160866882115,-1.1887499654869411,-1.1356622067481543,1.0069174678077102,-0.9188508226989061,-0.7362569011808877,-1.1605012738404756,-1.4983722911341637,-0.7589997031724738,0.11939927958971663,-0.48050795735929186,-0.9554585903674716,-0.04568665823497449,-0.15035354068489504,-1.8026182486270053,-0.07319881541628857,-0.5463412519158098,-0.2684080399928982,0.13147543012672494,0.45196215466117506,-0.11873635471067984
