Economy,Year,Access to clean fuels and technologies for cooking  (% of population),People using safely managed drinking water services (% of population),People using safely managed sanitation services (% of population),"Fertility rate, total (births per woman)","Life expectancy at birth, total (years)","Government expenditure on education, total (% of government expenditure)","School enrollment, primary (% gross)","Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)","Share of youth not in education, employment or training, total (% of youth population)  (modeled ILO estimate)","Unemployment, total (% of total labor force) (modeled ILO estimate)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","Hospital beds (per 1,000 people)","Mortality rate, under-5 (per 1,000 live births)",Prevalence of overweight (% of adults),Prevalence of undernourishment (% of population),Gini index,Poverty headcount ratio at $3.00 a day (2021 PPP) (% of population),Poverty headcount ratio at $8.30 a day (2021 PPP) (% of population),Poverty headcount ratio at national poverty lines (% of population)
Luxembourg,2016,0.48858276145472124,1.0412607629766728,0.7829765739698137,-0.8859298770210019,1.230778125420672,-1.1403300849008509,-0.5303162522196518,-0.2122875168721193,1.335118373061923,0.3221037588391359,0.8736818242443921,0.0900234132748629,1.6202038458980548,0.549459867414416,0.3861537021392478,-0.10885052685170464,0.9363573247842838,0.871308657778041,-0.06846997460850307
Luxembourg,2017,0.48858276145472124,1.034484618594433,0.8079178568980854,-1.0056705822969942,0.9829094321485515,-1.4044397257230803,-0.6802610609879894,-0.2930428530166953,1.3426836364406576,0.622017561877673,1.1225444959655309,0.00017537940215410242,1.6202038458980548,0.5527764221919224,0.3861537021392478,-0.7753974812219407,0.3854498849599905,0.5514148609687463,-0.06846997460850307
Luxembourg,2018,0.48858276145472124,1.0281099534723128,0.8329710994618568,-1.0658613444267782,1.065453282744563,-1.2850448604017852,-0.5450551361797904,-0.1531000409050444,1.5392404820041694,0.6032712472159216,1.3390626547157116,-0.09130616971364353,1.6202038458980548,0.5560895344396968,0.3861537021392478,-0.9830581201628756,0.3854498849599905,0.7293164184276969,-0.06846997460850307
Luxembourg,2019,0.48858276145472124,1.029383902778772,0.8581443457588176,-1.3087491152080648,1.210826070561499,-1.2653634355843522,-0.328757296577792,-0.012443820228120673,1.8428882188740734,0.602423897973233,1.0954553949878842,-0.2476128425071614,1.6202038458980548,0.5610527530267303,0.3861537021392478,-0.705492049122684,0.9363573247842838,1.1350891838610362,-0.06846997460850307
Luxembourg,2020,0.48858276145472124,1.0306029230722447,0.8834212550844955,-1.1868812476683168,1.0029161802114341,-1.5626072107982294,-0.2622975683909602,0.01772171648711848,1.185112482599227,0.2989442383945407,1.2612077939258681,-0.29228111181516747,1.6202038458980548,0.5660082386702382,0.3861537021392478,-0.5173517563907376,1.3034072728278059,1.4945620704274736,-0.06846997460850307
Moldova,2012,-1.1371231572045348,-1.8469724193088615,0.2544417339975033,0.5425097493114471,-1.9522948965309443,2.4314925479722556,-1.3642110005927353,-0.9473322686022784,-0.9952423038605316,2.0097394920517333,-2.098463625638889,0.9171584733668058,-1.9756612112040584,-0.43863583041086873,-2.70874688805943,0.5151904247932777,-0.006713781585690784,-1.4334029029324469,-1.1970528459447902
Moldova,2013,-0.9775040400330957,-1.815860706688934,0.2685585950087038,0.32976827389310825,-1.9593684369858915,1.9866944194547103,-1.3722177431775675,-0.8742851078699361,-0.9216888548397851,2.1906105302464463,-2.1042531034648713,0.7939960909001066,-1.9621545391644013,-0.5297174209563988,-2.708483121869444,0.6953156699433128,0.9363573247842838,-1.3398941544138805,-1.1970528459447902
Moldova,2014,-0.8226282911005262,-1.773208569078317,-0.64066342565844,1.3734785238814196,-1.9660063532913619,2.0818063752229437,1.4305213963107213,-0.15930564687871468,-0.6726167050108652,2.5254081140441937,-2.1152849169412864,0.7679812667556206,-1.9528585136181136,-0.6248446542488223,-2.704790395209643,1.1434699735204081,1.3034072728278059,-1.314855990056586,-1.1970528459447902
Moldova,2015,-0.7025455743750841,-1.7670120207720377,-1.5527541311163178,1.622426984202447,-1.9821910119889652,1.979176709224921,1.1291050883965763,0.0327874010499373,-0.5859641543275347,2.282412475249262,-2.12221890447676,0.6145601203350752,-1.9384546462762327,-0.7241752314662206,-2.668390660991599,1.0899263886222157,0.9363573247842838,-1.2541101542038742,-1.1970528459447902
Moldova,2016,-0.5739982299375468,-1.7604400632669737,0.5353918457219048,1.7203113148041875,-1.9741900917887447,2.0542625708690463,0.898852979986329,-0.010903657127026914,-0.634984535595624,2.4203370166824736,-2.127148507493436,0.662645820274511,-1.9285315723049803,-0.8255458072613814,0.3861537021392478,1.2783252443065187,0.6357670797425969,-1.2568303208452158,-1.1970528459447902
Moldova,2017,-0.46469813346555927,-1.7534838521701872,0.5391903569926177,1.3229684289835875,-1.9481396559853172,2.0175328154796337,0.7518200624210424,-0.24015600028694856,-0.7178987808983421,2.398027248571327,-2.11963930912043,0.6359850925545287,-1.9234701163300352,-0.931357815166882,0.3861537021392478,1.3872561678197968,0.9363573247842838,-1.2486155233439782,-1.1970528459447902
Moldova,2018,-0.37876038357926417,-1.7461240337276769,0.539718550809674,1.3229684289835875,-1.9666682694440696,1.841704493731322,0.6856202210193982,-0.5082344144863823,-0.8287584840892421,2.7230156620405688,-2.1167052875952503,0.6306369218377232,-1.9183402959505607,-1.0369355197733159,0.3861537021392478,1.442078070923774,1.3034072728278059,-1.145796183800464,-1.1970528459447902
Moldova,2019,-0.31950979832070514,-1.7383426804335558,0.7774752064337791,1.17001054239494,-1.9739269145771066,2.2116214962117726,1.010436283926707,-0.08079282403183458,-0.7865600293894526,2.492133257453825,-2.115256710594602,0.6466653692165458,-1.9131407544957377,-1.142161953910075,0.3861537021392478,1.359934850461884,1.3034072728278059,-1.166416252958583,-1.1970528459447902
Moldova,2020,-0.2586461353871427,-1.7301189062813027,0.7786686093311056,1.1185510927477536,-2.008585536672939,1.9298964154408333,1.2707455524995994,-0.024307064036811765,-0.54478768379489,2.7321385442466575,-2.1146934848299477,0.5225271637543255,-1.907870099665472,-1.2494382765837995,0.3861537021392478,1.6358748931086802,1.3034072728278059,-1.1861019348595532,-1.3742260804970394
Montenegro,2012,-2.3945269923624872,-1.2802471870772298,-1.8072489338193471,0.8577339822793592,-0.8633200087955122,-1.255533180758671,-0.1716888510945115,-2.1809941989007404,-0.7201512622808801,-1.4597299226683498,0.08220504711882463,-0.48182642313864327,-0.5351080452052309,1.2312368738908004,0.3861537021392478,-2.2542207073006164,-1.7558630483244422,-1.469519167648548,-1.1970528459447902
Montenegro,2013,-2.3946110967383576,-1.2716856903702467,-1.7845971717693991,0.9103644491491798,-0.8170962340513723,-1.255533180758671,-0.022310752817431403,-2.1353231141745463,-0.8339919972972318,-1.4411026537808052,0.11881785094222393,-0.542197541155098,-0.3255955622166425,1.1922235076981562,0.3861537021392478,-1.7849011665510282,-1.7279183216140865,-1.4486116749345042,-1.0667529723739586
Montenegro,2014,-2.394853085478423,-1.2630949192936602,-1.761002518928194,1.0149261672989645,-0.8539096925963382,-1.1922236776990558,0.12408373495665333,-1.6802080366915062,-0.8156202796680163,-1.3071127585285902,-0.27302378263411525,-0.5085641653543259,-0.1279835845101109,1.1525424144854626,0.3861537021392478,-1.7414925131527292,-1.6019486689306202,-1.4084287283324122,-1.1030254283287686
Montenegro,2015,-2.3949304164610323,-1.2544616892860088,-1.736478857417717,0.7517771521184472,-0.7894359778575908,-1.1923373150054217,0.2679682742610992,-1.5446712892847445,-0.9810596105859024,-1.2609497054634409,-0.5162265063802061,-0.5085641653543259,0.10353619649401276,1.1121863918884456,0.3861537021392478,-1.7849011665510282,-1.5616711761287305,-1.3836502321791102,-1.0545349324760735
Montenegro,2016,-2.3951528575408263,-1.246603354374239,-1.7110454088312381,1.2722199206506448,-0.8044858209791907,-1.1773151950099598,0.058758104543363984,-1.4253428567464799,-0.8953848117492396,-1.277473832939882,-0.5821261850021884,-0.5085641653543259,0.3048548187889507,1.0711482048763028,0.3861537021392478,-1.6761389595869984,-1.5151973175054652,-1.2830844263107093,-1.0050107434879951
Montenegro,2017,-2.3950061347965246,-1.2403022016544683,-1.6847231124731832,1.2722199206506448,-0.7687848434805149,-1.1868430985010918,0.2155383696663631,-1.4094452922851204,-0.688279164296506,-1.1165576575440308,-0.6361253309170987,-0.5489527032657429,0.4549885920811776,1.0308226909714533,0.3861537021392478,-1.3225706098648418,-1.6777295542188029,-1.259532666145514,-1.0299044620378335
Montenegro,2018,-2.3951528575408263,-1.2340391009604155,-1.657598491829399,1.2722199206506448,-0.45151323251177844,-1.1871798025298796,0.6716992537272779,-1.2046396102160215,-0.6383613994276606,-1.0225209137750817,-0.6240777801702768,-0.5085641653543259,0.7087957771330945,0.9898463475179784,0.3861537021392478,-1.3001843263492587,-1.6019486689306202,-1.307744065673545,-1.1149909577041477
