Economy,Year,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),Methane (CH4) emissions (total) excluding LULUCF (Mt CO2e),Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),Total greenhouse gas emissions excluding LULUCF (Mt CO2e),Total greenhouse gas emissions per capita excluding LULUCF (t CO2e/capita),Electricity production from coal sources (% of total),"Energy imports, net (% of energy use)",Energy intensity level of primary energy (MJ/$2017 PPP GDP),Energy use (kg of oil equivalent per capita),Fossil fuel energy consumption (% of total),Renewable electricity output (% of total electricity output),Renewable energy consumption (% of total final energy consumption),Cooling Degree Days,Heat Index 35,Heating Degree Days,Land Surface Temperature,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Population density (people per sq. km of land area),Standardised Precipitation-Evapotranspiration Index,Agricultural land (% of land area),"Agriculture, forestry, and fishing, value added (% of GDP)",Food production index (2014-2016 = 100),"Adjusted savings, natural resources depletion (% of GNI)","Adjusted savings, net forest depletion (% of GNI)","Annual freshwater withdrawals, total (% of internal resources)",Forest area (% of land area),Terrestrial and marine protected areas (% of total territorial area),Tree Cover Loss
Belgium,2012,15.215,103.0863,9.2813,-0.3793,12.73,8.7109,127.4017,11.4705,6.5808,86.2152,4.17,4824.2672,70.83,14.2378,7.7,122.94,0.0,5605.64,14.0938,65.1106,366.1666,0.5467,43.9126,0.8446,91.38,0.049,0.0149,44.1667,22.7357,,5635.0188
Belgium,2013,14.3698,104.4225,9.3574,-1.0266,12.756,8.7495,128.8169,11.5433,6.1787,87.225,4.33,5000.3761,70.58,15.6358,8.3,177.59,0.0,5975.35,14.3436,59.3243,367.8966,-0.2416,44.0609,0.7646,95.83,0.0446,0.0141,40.2417,22.7319,24.3,3314.9997
Belgium,2014,12.9004,97.7245,8.7184,-1.0094,12.6542,8.6156,122.0131,10.8852,5.8736,89.6078,4.02,4701.1363,72.25,18.4604,9.1,105.47,0.0,4757.4,15.6556,55.9705,369.5334,-0.456,43.8895,0.7165,101.8,0.0501,0.0129,37.9667,22.7282,24.2,4239.217
Belgium,2015,13.339,102.3791,9.0808,-0.9581,12.7713,8.5877,126.7347,11.2411,5.896,95.1795,3.93,4661.5345,74.92,22.3213,9.4,195.06,0.0,5242.51,15.6556,49.0663,371.6809,-0.9886,43.7807,0.7506,101.32,0.0233,0.011,33.2833,22.7244,24.2,3420.2739
Belgium,2016,12.3939,101.261,8.9363,-0.8712,12.954,8.3709,125.7471,11.0972,3.0826,86.1518,4.11,4904.1282,69.91,17.9645,9.2,169.69,0.0,5433.28,14.9672,51.5116,373.5675,0.1652,44.5324,0.6732,96.87,0.0196,0.0107,34.942,22.7244,24.6,4512.2428
Belgium,2017,12.7692,99.7004,8.7647,-0.7489,12.6395,8.3553,123.7283,10.8771,2.7996,86.8687,4.02,4863.4837,70.2,19.5544,9.7,188.4,0.0,5186.49,15.8428,53.9568,375.0093,-0.5727,43.7477,0.7295,102.61,0.0253,0.0095,36.6007,22.7244,24.7,4137.3227
Belgium,2018,12.4926,100.0981,8.7597,-0.7128,12.822,8.3694,124.178,10.867,3.1237,99.6081,3.8,4660.1338,73.75,24.2594,10.7,331.69,0.0,4996.99,16.9679,51.2899,374.7435,-1.6353,44.4036,0.6646,98.91,0.0334,0.0106,34.7917,22.6052,24.6,4630.8045
Belgium,2019,11.2144,99.8825,8.6938,-0.5859,12.7066,8.373,123.7138,10.768,2.6857,90.8459,3.83,4773.9326,70.21,21.7446,10.2,229.18,0.0,5097.44,16.0934,51.5848,376.762,-1.0189,44.4678,0.7188,101.26,0.0293,0.0083,34.9917,22.6044,26.1,5577.1182
Belgium,2020,11.2161,92.267,7.9964,-0.4389,12.673,8.3497,115.8177,10.0374,2.0983,88.9393,3.71,4358.9413,71.0,27.4037,12.3,249.04,0.0,4730.82,17.2813,51.8796,378.3893,-1.2724,44.7501,0.7128,101.9,0.0188,0.0076,35.1917,22.6044,17.6,5408.5821
Bulgaria,2012,23.0864,49.9151,6.8322,-8.2857,9.6592,2.894,62.6398,8.5739,48.3698,37.358,5.5,2493.235,72.61,12.7739,15.6,1022.33,0.0,5209.32,19.6865,42.2396,67.2982,-0.9123,47.1905,4.4301,83.86,0.7467,0.0,27.2124,34.7771,,9977.5057
