Economy,Year,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),Total greenhouse gas emissions per capita excluding LULUCF (t CO2e/capita),Electricity production from coal sources (% of total),"Energy imports, net (% of energy use)",Energy intensity level of primary energy (MJ/$2021 PPP GDP),Energy use (kg of oil equivalent per capita),Fossil fuel energy consumption (% of total),Renewable electricity output (% of total electricity output),Renewable energy consumption (% of total final energy consumption),Cooling Degree Days,Heating Degree Days,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Standardised Precipitation-Evapotranspiration Index,"Agriculture, forestry, and fishing, value added (% of GDP)",Food production index (2014-2016 = 100),"Adjusted savings, natural resources depletion (% of GNI)","Adjusted savings, net forest depletion (% of GNI)","Annual freshwater withdrawals, total (% of internal resources)",Forest area (% of land area),Terrestrial and marine protected areas (% of total territorial area),Tree Cover Loss
Bulgaria,2013,21.4901,-6.9319,7.9674,44.2588,39.0539,5.12,2353.3076,70.507,17.5078,18.2,706.77,4794.75,40.4169,-0.939,4.5154,102.69,0.5049,0.0,26.0381,34.9539,35.0,3692.7615
Bulgaria,2014,21.9922,-8.1906,8.5566,44.8621,35.7152,5.32,2499.707,71.9161,16.7401,17.1,558.35,4796.53,39.7369,2.2212,4.5587,100.74,0.3158,0.0,25.6,35.1308,31.5,6688.4507
Bulgaria,2015,20.7937,-7.7694,8.98,45.7513,37.1318,5.36,2637.5035,36.0045,18.794,17.9,738.4,4857.24,41.6099,0.4252,4.062,97.47,0.2323,0.0,26.8067,35.3077,32.8,7293.0669
Bulgaria,2016,19.9792,-9.5771,8.7479,42.766,39.3294,5.07,2606.6105,0.0,17.0803,17.7,774.68,4952.14,42.0504,-0.2804,4.0549,101.79,0.1872,0.0,27.0905,35.3814,28.3,7394.7091
Bulgaria,2017,20.0338,-9.5484,9.1965,45.852,40.2668,5.11,2732.2224,0.0,14.8995,17.1,778.88,5169.81,41.8213,0.3132,4.0432,106.22,0.3094,0.0,26.9429,35.5011,28.3,7687.6226
Bulgaria,2018,19.716,-9.6156,8.8454,39.8382,37.3715,4.97,2764.2751,0.0,20.6175,19.6,676.27,4798.08,40.099,-0.0412,3.4046,105.22,0.2839,0.0,25.8333,35.6209,28.3,9753.9215
Bulgaria,2019,17.538,-9.3461,8.7345,38.9014,39.3232,4.72,2771.1242,0.0,17.9281,19.3,735.32,4477.51,40.0769,-1.6319,3.2021,107.09,0.2463,0.0,25.819,35.7406,32.8,4125.0189
Bulgaria,2020,17.1474,-9.3876,8.027,33.2041,38.9217,4.68,2664.5515,0.0,19.5452,21.1,754.83,4722.99,36.7285,-1.0222,3.436,90.38,0.2954,0.0,23.6619,35.8604,33.1,4795.2148
Croatia,2012,20.9195,-5.4004,6.1015,20.8089,50.6393,3.5,2020.4842,72.3693,50.431,29.4,981.11,4659.95,1.4512,-1.3589,3.2839,89.06,1.0874,0.2643,1.7314,34.3221,,5004.4285
Croatia,2013,20.264,-6.3045,6.0433,17.2289,48.2824,3.44,1990.5414,71.4295,66.7575,32.8,704.13,4593.07,1.3982,0.5976,3.4377,96.39,0.9029,0.2488,1.6682,34.3292,8.0,2997.7527
