Economy,Year,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),Methane (CH4) emissions (total) excluding LULUCF (Mt CO2e),Nitrous oxide (N2O) emissions (total) excluding LULUCF (Mt CO2e),Total greenhouse gas emissions excluding LULUCF (Mt CO2e),Total greenhouse gas emissions per capita excluding LULUCF (t CO2e/capita),Electricity production from coal sources (% of total),"Energy imports, net (% of energy use)",Energy intensity level of primary energy (MJ/$2021 PPP GDP),Energy use (kg of oil equivalent per capita),Fossil fuel energy consumption (% of total),Renewable electricity output (% of total electricity output),Renewable energy consumption (% of total final energy consumption),Coastal protection,Cooling Degree Days,Heat Index 35,Heating Degree Days,Land Surface Temperature,Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,Population density (people per sq. km of land area),Proportion of bodies of water with good ambient water quality,Standardised Precipitation-Evapotranspiration Index,Agricultural land (% of land area),"Agriculture, forestry, and fishing, value added (% of GDP)",Food production index (2014-2016 = 100),"Adjusted savings, natural resources depletion (% of GNI)","Adjusted savings, net forest depletion (% of GNI)","Annual freshwater withdrawals, total (% of internal resources)",Forest area (% of land area),"Mammal species, threatened",Terrestrial and marine protected areas (% of total territorial area),Tree Cover Loss
Bulgaria,2018,19.716,46.3135,6.9013,-9.6156,8.3952,3.8609,59.3596,8.8454,39.8382,37.3715,4.97,2764.2751,0.0,20.6175,19.6,74.93,676.27,0.0,4798.08,19.4381,40.099,61.8165,,-0.0412,46.3338,3.4046,105.22,0.2839,0.0,25.8333,35.6209,8.0,28.3,9753.9215
Bulgaria,2019,17.538,44.6358,6.7459,-9.3461,8.2081,3.933,57.7936,8.7345,38.9014,39.3232,4.72,2771.1242,0.0,17.9281,19.3,74.93,735.32,0.0,4477.51,20.5615,40.0769,60.9499,,-1.6319,46.3983,3.2021,107.09,0.2463,0.0,25.819,35.7406,,32.8,4125.0189
Bulgaria,2020,17.1474,39.4151,6.0169,-9.3876,8.1197,3.9866,52.5825,8.027,33.2041,38.9217,4.68,2664.5515,0.0,19.5452,21.1,74.93,754.83,0.0,4722.99,20.937,36.7285,60.3417,33.73,-1.0222,46.4904,3.436,90.38,0.2954,0.0,23.6619,35.8604,,33.1,4795.2148
Croatia,2012,20.9195,18.7872,4.4098,-5.4004,4.1557,2.3515,25.9947,6.1015,20.8089,50.6393,3.5,2020.4842,72.3693,50.431,29.4,65.07,981.11,0.0,4659.95,17.687,1.4512,76.1269,,-1.3589,23.7831,3.2839,89.06,1.0874,0.2643,1.7314,34.3221,,,5004.4285
Croatia,2013,20.264,18.3813,4.3414,-6.3045,4.0905,2.3532,25.5867,6.0433,17.2289,48.2824,3.44,1990.5414,71.4295,66.7575,32.8,65.07,704.13,0.0,4593.07,17.3436,1.3982,75.6544,,0.5976,28.0055,3.4377,96.39,0.9029,0.2488,1.6682,34.3292,,8.0,2997.7527
Croatia,2014,19.8289,17.6771,4.2072,-6.1595,4.1741,2.2477,24.9453,5.9371,17.4709,45.0191,3.29,1909.8358,70.8748,74.1793,33.6,65.07,494.11,0.0,3891.98,18.0927,1.2893,75.0768,,1.8037,26.9548,2.9388,94.25,0.6931,0.2092,1.5382,34.3364,,23.7,4559.4857
Croatia,2015,20.1719,18.0245,4.3414,-5.8747,4.2642,2.3524,25.5777,6.1607,20.2578,49.6289,3.35,2018.5426,28.9492,67.306,33.1,65.07,903.8,0.01,4461.1,18.0315,1.3803,74.1856,,-0.7807,27.4677,2.9638,96.59,0.5687,0.2087,1.6468,34.3435,,23.7,2669.0481
Croatia,2016,18.1778,18.2746,4.4498,-5.8747,4.3185,2.4452,26.1126,6.3583,20.2496,49.3077,3.26,2057.1887,0.0,66.8353,31.8,65.07,692.94,0.0,4523.36,17.2189,1.4153,73.3841,,0.166,27.6249,3.0598,109.16,0.4194,0.191,1.6886,34.3814,,23.5,5372.9631
Croatia,2017,18.7614,18.7971,4.6511,-5.1676,4.3642,2.4067,26.788,6.6284,11.4078,54.2576,3.26,2159.9695,0.0,61.0532,29.8,65.07,866.58,0.0,4614.77,17.9363,1.5028,72.2144,92.31,-1.1721,26.7493,2.8902,93.43,0.5217,0.2254,1.793,34.5152,,23.6,5846.6453
Croatia,2018,20.0014,17.7661,4.454,-5.6561,4.1733,2.4246,25.7117,6.446,10.6522,54.123,3.08,2127.6388,0.0,72.374,32.8,65.07,858.62,0.0,4225.78,17.9069,1.4867,71.2739,,-0.7839,26.517,2.9509,102.04,0.5981,0.1982,1.7738,34.5599,9.0,23.6,8285.3402
